uniprot|disease_name|effect_text|disease_description
O14578|Microcephaly 17, primary, autosomal recessive|The disease is caused by mutations affecting the gene represented in this entry.|A form of microcephaly, a disease defined as a head circumference more than 3 standard deviations below the age, sex and ethnically matched mean. Brain weight is markedly reduced and the cerebral cortex is disproportionately small. MCPH17 is a severe form characterized by lissencephaly, enlarged ventricles, agenesis of the corpus callosum, cerebellar hypoplasia, and brainstem hypoplasia. Patients manifest delayed psychomotor development, intellectual disability, spasticity, axial hypotonia, and dysmorphic features.
O14578|Microcephaly 17, primary, autosomal recessive|The disease is caused by mutations affecting the gene represented in this entry.|A form of microcephaly, a disease defined as a head circumference more than 3 standard deviations below the age, sex and ethnically matched mean. Brain weight is markedly reduced and the cerebral cortex is disproportionately small. MCPH17 is a severe form characterized by lissencephaly, enlarged ventricles, agenesis of the corpus callosum, cerebellar hypoplasia, and brainstem hypoplasia. Patients manifest delayed psychomotor development, intellectual disability, spasticity, axial hypotonia, and dysmorphic features.
O14578|Microcephaly 17, primary, autosomal recessive|The disease is caused by mutations affecting the gene represented in this entry.|A form of microcephaly, a disease defined as a head circumference more than 3 standard deviations below the age, sex and ethnically matched mean. Brain weight is markedly reduced and the cerebral cortex is disproportionately small. MCPH17 is a severe form characterized by lissencephaly, enlarged ventricles, agenesis of the corpus callosum, cerebellar hypoplasia, and brainstem hypoplasia. Patients manifest delayed psychomotor development, intellectual disability, spasticity, axial hypotonia, and dysmorphic features.
Q09013|Dystrophia myotonica|The disease is caused by mutations affecting the gene represented in this entry. The causative mutation is a CTG expansion in the 3-UTR of the DMPK gene. A length exceeding 50 CTG repeats is pathogenic, while normal individuals have 5 to 37 repeats. Intermediate alleles with 35-49 triplets are not disease-causing but show instability in intergenerational transmissions. Disease severity varies with the number of repeats: mildly affected persons have 50 to 150 repeats, patients with classic DM have 100 to 1,000 repeats, and those with congenital onset can have more than 2,000 repeats.|A muscular disorder characterized by myotonia, muscle wasting in the distal extremities, cataract, hypogonadism, defective endocrine functions, male baldness and cardiac arrhythmias.
Q09013|Dystrophia myotonica|The disease is caused by mutations affecting the gene represented in this entry. The causative mutation is a CTG expansion in the 3-UTR of the DMPK gene. A length exceeding 50 CTG repeats is pathogenic, while normal individuals have 5 to 37 repeats. Intermediate alleles with 35-49 triplets are not disease-causing but show instability in intergenerational transmissions. Disease severity varies with the number of repeats: mildly affected persons have 50 to 150 repeats, patients with classic DM have 100 to 1,000 repeats, and those with congenital onset can have more than 2,000 repeats.|A muscular disorder characterized by myotonia, muscle wasting in the distal extremities, cataract, hypogonadism, defective endocrine functions, male baldness and cardiac arrhythmias.
Q09013|Dystrophia myotonica|The disease is caused by mutations affecting the gene represented in this entry. The causative mutation is a CTG expansion in the 3-UTR of the DMPK gene. A length exceeding 50 CTG repeats is pathogenic, while normal individuals have 5 to 37 repeats. Intermediate alleles with 35-49 triplets are not disease-causing but show instability in intergenerational transmissions. Disease severity varies with the number of repeats: mildly affected persons have 50 to 150 repeats, patients with classic DM have 100 to 1,000 repeats, and those with congenital onset can have more than 2,000 repeats.|A muscular disorder characterized by myotonia, muscle wasting in the distal extremities, cataract, hypogonadism, defective endocrine functions, male baldness and cardiac arrhythmias.
Q09013|Dystrophia myotonica|The disease is caused by mutations affecting the gene represented in this entry. The causative mutation is a CTG expansion in the 3-UTR of the DMPK gene. A length exceeding 50 CTG repeats is pathogenic, while normal individuals have 5 to 37 repeats. Intermediate alleles with 35-49 triplets are not disease-causing but show instability in intergenerational transmissions. Disease severity varies with the number of repeats: mildly affected persons have 50 to 150 repeats, patients with classic DM have 100 to 1,000 repeats, and those with congenital onset can have more than 2,000 repeats.|A muscular disorder characterized by myotonia, muscle wasting in the distal extremities, cataract, hypogonadism, defective endocrine functions, male baldness and cardiac arrhythmias.
Q15835|Night blindness, congenital stationary, Oguchi type 2|The disease is caused by mutations affecting the gene represented in this entry.|A non-progressive retinal disorder characterized by impaired night vision, often associated with nystagmus and myopia. Congenital stationary night blindness Oguchi type is associated with fundus discoloration and abnormally slow dark adaptation.
Q15835|Night blindness, congenital stationary, Oguchi type 2|The disease is caused by mutations affecting the gene represented in this entry.|A non-progressive retinal disorder characterized by impaired night vision, often associated with nystagmus and myopia. Congenital stationary night blindness Oguchi type is associated with fundus discoloration and abnormally slow dark adaptation.
Q9Y2H9|Mega-corpus-callosum syndrome with cerebellar hypoplasia and cortical malformations|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal dominant neurodevelopmental disorder with onset in infancy. MCCCHCM is characterized by global developmental delay, impaired intellectual development, poor or absent speech, unsteady gait, ataxia, inability to walk, and variable brain abnormalities. Seizures and autistic features are observed in some patients. Brain imaging findings include an enlarged corpus callosum in the absence of megalencephaly, cerebellar hypoplasia, ventricular dilation, gyral abnormalities, and cortical malformations.
Q96GX5||Defects in MASTL may play a role in the pathogenesis of thrombocytopenia, a disorder defined by reduced number of platelets in circulating blood, resulting in the potential for increased bleeding and decreased ability for clotting.|
P17612|Primary pigmented nodular adrenocortical disease 4|The disease is caused by mutations affecting the gene represented in this entry.|A rare bilateral adrenal defect causing ACTH-independent Cushing syndrome. Macroscopic appearance of the adrenals is characteristic with small pigmented micronodules observed in the cortex. Adrenal glands show overall normal size and weight, and multiple small yellow-to-dark brown nodules surrounded by a cortex with a uniform appearance. Microscopically, there are moderate diffuse cortical hyperplasia with mostly nonpigmented nodules, multiple capsular deficits and massive circumscribed and infiltrating extra-adrenal cortical excrescences with micronodules. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes.
P17612|Primary pigmented nodular adrenocortical disease 4|The disease is caused by mutations affecting the gene represented in this entry.|A rare bilateral adrenal defect causing ACTH-independent Cushing syndrome. Macroscopic appearance of the adrenals is characteristic with small pigmented micronodules observed in the cortex. Adrenal glands show overall normal size and weight, and multiple small yellow-to-dark brown nodules surrounded by a cortex with a uniform appearance. Microscopically, there are moderate diffuse cortical hyperplasia with mostly nonpigmented nodules, multiple capsular deficits and massive circumscribed and infiltrating extra-adrenal cortical excrescences with micronodules. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes.
P17612|Primary pigmented nodular adrenocortical disease 4|The disease is caused by mutations affecting the gene represented in this entry.|A rare bilateral adrenal defect causing ACTH-independent Cushing syndrome. Macroscopic appearance of the adrenals is characteristic with small pigmented micronodules observed in the cortex. Adrenal glands show overall normal size and weight, and multiple small yellow-to-dark brown nodules surrounded by a cortex with a uniform appearance. Microscopically, there are moderate diffuse cortical hyperplasia with mostly nonpigmented nodules, multiple capsular deficits and massive circumscribed and infiltrating extra-adrenal cortical excrescences with micronodules. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes.
P17612|Primary pigmented nodular adrenocortical disease 4|The disease is caused by mutations affecting the gene represented in this entry.|A rare bilateral adrenal defect causing ACTH-independent Cushing syndrome. Macroscopic appearance of the adrenals is characteristic with small pigmented micronodules observed in the cortex. Adrenal glands show overall normal size and weight, and multiple small yellow-to-dark brown nodules surrounded by a cortex with a uniform appearance. Microscopically, there are moderate diffuse cortical hyperplasia with mostly nonpigmented nodules, multiple capsular deficits and massive circumscribed and infiltrating extra-adrenal cortical excrescences with micronodules. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes.
P22612|Bleeding disorder, platelet-type 19|The disease is caused by mutations affecting the gene represented in this entry.|A disorder characterized by increased bleeding tendency due to platelet dysfunction. Clinical features include epistaxis, hematomas, bleeding after tooth extraction, and menorrhagia.
Q05655|Autoimmune lymphoproliferative syndrome 3|The disease is caused by mutations affecting the gene represented in this entry.|A primary immunodeficiency characterized by antibody deficiency, hypogammaglobulinemia, recurrent bacterial infections and an inability to mount an antibody response to antigen. The defect results from a failure of B-cell differentiation and impaired secretion of immunoglobulins; the numbers of circulating B-cells is usually in the normal range, but can be low. CVID9 patients have B-cell deficiency and severe autoimmunity.
P05129|Spinocerebellar ataxia 14|The disease is caused by mutations affecting the gene represented in this entry.|Spinocerebellar ataxia is a clinically and genetically heterogeneous group of cerebellar disorders. Patients show progressive incoordination of gait and often poor coordination of hands, speech and eye movements, due to degeneration of the cerebellum with variable involvement of the brainstem and spinal cord. SCA14 is an autosomal dominant cerebellar ataxia (ADCA).
P05129|Spinocerebellar ataxia 14|The disease is caused by mutations affecting the gene represented in this entry.|Spinocerebellar ataxia is a clinically and genetically heterogeneous group of cerebellar disorders. Patients show progressive incoordination of gait and often poor coordination of hands, speech and eye movements, due to degeneration of the cerebellum with variable involvement of the brainstem and spinal cord. SCA14 is an autosomal dominant cerebellar ataxia (ADCA).
P24723|Ischemic stroke|Disease susceptibility is associated with variations affecting the gene represented in this entry.|A stroke is an acute neurologic event leading to death of neural tissue of the brain and resulting in loss of motor, sensory and/or cognitive function. Ischemic strokes, resulting from vascular occlusion, is considered to be a highly complex disease consisting of a group of heterogeneous disorders with multiple genetic and environmental risk factors.
Q13976|Aortic aneurysm, familial thoracic 8|The disease is caused by mutations affecting the gene represented in this entry.|A disease characterized by permanent dilation of the thoracic aorta usually due to degenerative changes in the aortic wall. It is primarily associated with a characteristic histologic appearance known as medial necrosis or Erdheim cystic medial necrosis in which there is degeneration and fragmentation of elastic fibers, loss of smooth muscle cells, and an accumulation of basophilic ground substance.
P51817||A chromosomal aberration involving PRKX is a cause of sex reversal disorder. Translocation t(X;Y)(p22;p11) with PRKY. Chromosomal translocations proximal to PRKY account for about 30% of the cases of sex reversal disorder in XX males and XY females.|
O43930||A chromosomal aberration involving PRKY is a cause of sex reversal disorder. Translocation t(X;Y)(p22;p11) with PRKX. Chromosomal translocations proximal to PRKY account for about 30% of the cases of sex reversal disorder in XX males and XY females.|
P51812|Coffin-Lowry syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A X-linked mental retardation associated with facial and digital dysmorphisms, progressive skeletal malformations, growth retardation, hearing deficit and paroxysmal movement disorders.
P51812|Coffin-Lowry syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A X-linked mental retardation associated with facial and digital dysmorphisms, progressive skeletal malformations, growth retardation, hearing deficit and paroxysmal movement disorders.
P51812|Coffin-Lowry syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A X-linked mental retardation associated with facial and digital dysmorphisms, progressive skeletal malformations, growth retardation, hearing deficit and paroxysmal movement disorders.
P51812|Coffin-Lowry syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A X-linked mental retardation associated with facial and digital dysmorphisms, progressive skeletal malformations, growth retardation, hearing deficit and paroxysmal movement disorders.
P51812|Coffin-Lowry syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A X-linked mental retardation associated with facial and digital dysmorphisms, progressive skeletal malformations, growth retardation, hearing deficit and paroxysmal movement disorders.
P51812|Coffin-Lowry syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A X-linked mental retardation associated with facial and digital dysmorphisms, progressive skeletal malformations, growth retardation, hearing deficit and paroxysmal movement disorders.
P51812|Mental retardation, X-linked 19|The disease is caused by mutations affecting the gene represented in this entry.|A non-syndromic form of mild to moderate mental retardation. Mental retardation is characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. In contrast to syndromic or specific X-linked mental retardation which also present with associated physical, neurological and/or psychiatric manifestations, intellectual deficiency is the only primary symptom of non-syndromic X-linked mental retardation.
P51812|Mental retardation, X-linked 19|The disease is caused by mutations affecting the gene represented in this entry.|A non-syndromic form of mild to moderate mental retardation. Mental retardation is characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. In contrast to syndromic or specific X-linked mental retardation which also present with associated physical, neurological and/or psychiatric manifestations, intellectual deficiency is the only primary symptom of non-syndromic X-linked mental retardation.
Q9UQM7|Mental retardation, autosomal dominant 53|The disease is caused by mutations affecting the gene represented in this entry.|A form of mental retardation, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period.
Q9UQM7|Mental retardation, autosomal dominant 53|The disease is caused by mutations affecting the gene represented in this entry.|A form of mental retardation, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period.
Q9UQM7|Mental retardation, autosomal dominant 53|The disease is caused by mutations affecting the gene represented in this entry.|A form of mental retardation, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period.
Q9UQM7|Mental retardation, autosomal dominant 53|The disease is caused by mutations affecting the gene represented in this entry.|A form of mental retardation, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period.
Q9UQM7|Mental retardation, autosomal recessive 63|The disease is caused by mutations affecting the gene represented in this entry.|A form of mental retardation, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. MRT63 patients manifest global developmental delay, severe intellectual disability, and seizures.
Q13554|Mental retardation, autosomal dominant 54|The disease is caused by mutations affecting the gene represented in this entry.|A form of mental retardation, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period.
Q13554|Mental retardation, autosomal dominant 54|The disease is caused by mutations affecting the gene represented in this entry.|A form of mental retardation, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period.
O14936|Mental retardation and microcephaly with pontine and cerebellar hypoplasia|The disease is caused by mutations affecting the gene represented in this entry.|A disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. Affected individuals can manifest a severe phenotype consisting of severe intellectual deficit, congenital or postnatal microcephaly, disproportionate brainstem and cerebellar hypoplasia. A milder phenotype consists of mental retardation alone or associated with nystagmus.
O14936|Mental retardation and microcephaly with pontine and cerebellar hypoplasia|The disease is caused by mutations affecting the gene represented in this entry.|A disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. Affected individuals can manifest a severe phenotype consisting of severe intellectual deficit, congenital or postnatal microcephaly, disproportionate brainstem and cerebellar hypoplasia. A milder phenotype consists of mental retardation alone or associated with nystagmus.
O14936|FG syndrome 4|The disease is caused by mutations affecting the gene represented in this entry.|FG syndrome (FGS) is an X-linked disorder characterized by mental retardation, relative macrocephaly, hypotonia and constipation.
O96017|Li-Fraumeni syndrome 2|The disease is caused by mutations affecting the gene represented in this entry.|A highly penetrant familial cancer syndrome that in its classic form is defined by the existence of a proband affected by a sarcoma before 45 years with a first degree relative affected by any tumor before 45 years and another first degree relative with any tumor before 45 years or a sarcoma at any age. Other clinical definitions for LFS have been proposed (PubMed:8118819 and PubMed:8718514) and called Li-Fraumeni like syndrome (LFL). In these families affected relatives develop a diverse set of malignancies at unusually early ages. Four types of cancers account for 80% of tumors occurring in TP53 germline mutation carriers: breast cancers, soft tissue and bone sarcomas, brain tumors (astrocytomas) and adrenocortical carcinomas. Less frequent tumors include choroid plexus carcinoma or papilloma before the age of 15, rhabdomyosarcoma before the age of 5, leukemia, Wilms tumor, malignant phyllodes tumor, colorectal and gastric cancers.
O96017|Prostate cancer|Disease susceptibility is associated with variations affecting the gene represented in this entry.|A malignancy originating in tissues of the prostate. Most prostate cancers are adenocarcinomas that develop in the acini of the prostatic ducts. Other rare histopathologic types of prostate cancer that occur in approximately 5% of patients include small cell carcinoma, mucinous carcinoma, prostatic ductal carcinoma, transitional cell carcinoma, squamous cell carcinoma, basal cell carcinoma, adenoid cystic carcinoma (basaloid), signet-ring cell carcinoma and neuroendocrine carcinoma.
O96017|Osteogenic sarcoma|The gene represented in this entry may be involved in disease pathogenesis.|A sarcoma originating in bone-forming cells, affecting the ends of long bones.
O96017|Breast cancer|Disease susceptibility is associated with variations affecting the gene represented in this entry.|A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case.
O96017|Breast cancer|Disease susceptibility is associated with variations affecting the gene represented in this entry.|A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case.
O96017|Breast cancer|Disease susceptibility is associated with variations affecting the gene represented in this entry.|A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case.
O60229|Coronary heart disease 5|Disease susceptibility is associated with variations affecting the gene represented in this entry.|A multifactorial disease characterized by an imbalance between myocardial functional requirements and the capacity of the coronary vessels to supply sufficient blood flow. Decreased capacity of the coronary vessels is often associated with thickening and loss of elasticity of the coronary arteries.
Q16644|Macular dystrophy, patterned, 3|The disease is caused by mutations affecting the gene represented in this entry.|A form of retinal patterned dystrophy, characterized by retinal pigment epithelium and Bruchs membrane changes resembling a dry desert land. It begins around the age of 30 and progresses to retinitis pigmentosa. MDPT3 inheritance is autosomal dominant.
Q9P0L2||Genetic variations in MARK1 may be associated with susceptibility to autism. MARK1 is overexpressed in the prefrontal cortex of patients with autism and causes changes in the function of cortical dendrites.|
P27448|Visual impairment and progressive phthisis bulbi |The disease may be caused by mutations affecting the gene represented in this entry.|An autosomal recessive, progressive disease characterized by poor vision at birth and development of bilateral phthisis bulbi by adulthood.
Q14680||Defects in MELK are associated with some cancers, such as brain or breast cancers. Expression is dramatically increased in aggressive undifferentiated tumors, correlating with poor patient outcome in breast and brain cancers, suggesting a role in tumor-initiating cells and proliferation via its function in cell proliferation regulation.|
Q15746|Aortic aneurysm, familial thoracic 7|The disease is caused by mutations affecting the gene represented in this entry.|A disease characterized by permanent dilation of the thoracic aorta usually due to degenerative changes in the aortic wall. It is primarily associated with a characteristic histologic appearance known as medial necrosis or Erdheim cystic medial necrosis in which there is degeneration and fragmentation of elastic fibers, loss of smooth muscle cells, and an accumulation of basophilic ground substance.
Q9H1R3|Cardiomyopathy, familial hypertrophic |The disease is caused by mutations affecting the gene represented in this entry.|A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death.
Q5VST9||A chromosomal aberration involving OBSCN has been found in Wilms tumor. Translocation t(1;7)(q42;p15) with PTHB1.|
P15735|Glycogen storage disease 9C|The disease is caused by mutations affecting the gene represented in this entry.|A metabolic disorder manifesting in infancy with hepatomegaly, growth retardation, hypotonia, liver dysfunction, and elevated plasma aminotransferases and lipids. These symptoms improve with age in most cases; however, some patients may develop hepatic fibrosis or cirrhosis.
P15735|Glycogen storage disease 9C|The disease is caused by mutations affecting the gene represented in this entry.|A metabolic disorder manifesting in infancy with hepatomegaly, growth retardation, hypotonia, liver dysfunction, and elevated plasma aminotransferases and lipids. These symptoms improve with age in most cases; however, some patients may develop hepatic fibrosis or cirrhosis.
P15735|Glycogen storage disease 9C|The disease is caused by mutations affecting the gene represented in this entry.|A metabolic disorder manifesting in infancy with hepatomegaly, growth retardation, hypotonia, liver dysfunction, and elevated plasma aminotransferases and lipids. These symptoms improve with age in most cases; however, some patients may develop hepatic fibrosis or cirrhosis.
Q15139|Congenital heart defects and ectodermal dysplasia|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal dominant syndrome characterized by atrial and/or ventricular septal congenital heart defects and variable features of ectodermal dysplasia, including sparse hair, dry skin, thin skin, fragile nails, premature loss of primary teeth, and small widely spaced teeth. Patients manifest developmental disabilities ranging from motor delay and delayed speech to global developmental retardation.
P57059|Epileptic encephalopathy, early infantile, 30|The disease is caused by mutations affecting the gene represented in this entry.|A form of epileptic encephalopathy, a heterogeneous group of severe childhood onset epilepsies characterized by refractory seizures, neurodevelopmental impairment, and poor prognosis. Development is normal prior to seizure onset, after which cognitive and motor delays become apparent.
P57059||Defects in SIK1 may be associated with some cancers, such as breast cancers. Loss of SIK1 correlates with poor patient outcome in breast cancers (PubMed:19622832).|
Q9Y2K2|Spondyloepimetaphyseal dysplasia, Krakow type|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal recessive skeletal disorder characterized by severe spondyloepimetaphyseal dysplasia, rhizomelia, mesomelia with significant anterior bowing of all limbs, severe immunodeficiency, and developmental delay.
Q15772|Myopathy, centronuclear, 5|The disease is caused by mutations affecting the gene represented in this entry.|A form of centronuclear myopathy, a congenital muscle disorder characterized by progressive muscular weakness and wasting involving mainly limb girdle, trunk, and neck muscles. It may also affect distal muscles. Weakness may be present during childhood or adolescence or may not become evident until the third decade of life. Ptosis is a frequent clinical feature. The most prominent histopathologic features include high frequency of centrally located nuclei in muscle fibers not secondary to regeneration, radial arrangement of sarcoplasmic strands around the central nuclei, and predominance and hypotrophy of type 1 fibers. CNM5 features include severe neonatal hypotonia with respiratory insufficiency, difficulty feeding, and delayed motor development. Some patients die in infancy, and some develop dilated cardiomyopathy.
Q15831|Peutz-Jeghers syndrome|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal dominant disorder characterized by melanocytic macules of the lips, multiple gastrointestinal hamartomatous polyps and an increased risk for various neoplasms, including gastrointestinal cancer.
Q15831|Peutz-Jeghers syndrome|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal dominant disorder characterized by melanocytic macules of the lips, multiple gastrointestinal hamartomatous polyps and an increased risk for various neoplasms, including gastrointestinal cancer.
Q15831|Peutz-Jeghers syndrome|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal dominant disorder characterized by melanocytic macules of the lips, multiple gastrointestinal hamartomatous polyps and an increased risk for various neoplasms, including gastrointestinal cancer.
Q15831|Peutz-Jeghers syndrome|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal dominant disorder characterized by melanocytic macules of the lips, multiple gastrointestinal hamartomatous polyps and an increased risk for various neoplasms, including gastrointestinal cancer.
Q15831|Peutz-Jeghers syndrome|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal dominant disorder characterized by melanocytic macules of the lips, multiple gastrointestinal hamartomatous polyps and an increased risk for various neoplasms, including gastrointestinal cancer.
Q15831|Peutz-Jeghers syndrome|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal dominant disorder characterized by melanocytic macules of the lips, multiple gastrointestinal hamartomatous polyps and an increased risk for various neoplasms, including gastrointestinal cancer.
