uniprot_id|ensembl_gene_id|ensembl_transcript_id|ensembl_translation_id
O75914|ENSG00000077264|ENST00000262836|ENSP00000262836
O96013|ENSG00000130669|ENST00000358301|ENSP00000351049
O96013|ENSG00000130669|ENST00000593690|ENSP00000469413
O96013|ENSG00000130669|ENST00000360442|ENSP00000353625
Q9P286|ENSG00000101349|ENST00000353224|ENSP00000322957
Q9P286|ENSG00000101349|ENST00000378423|ENSP00000367679
Q9P286|ENSG00000101349|ENST00000378429|ENSP00000367686
Q9NQU5|ENSG00000137843|ENST00000453867|ENSP00000401153
Q9NQU5|ENSG00000137843|ENST00000441369|ENSP00000406873
Q9NQU5|ENSG00000137843|ENST00000558658|ENSP00000456785
Q9NQU5|ENSG00000137843|ENST00000560346|ENSP00000453858
Q9NQU5|ENSG00000137843|ENST00000260404|ENSP00000260404
Q9NQU5|ENSG00000137843|ENST00000542403|ENSP00000439597
Q96KB5|ENSG00000168078|ENST00000301905|ENSP00000301905
Q9H2G2|ENSG00000065613|ENST00000369755|ENSP00000358770
O94804|ENSG00000072786|ENST00000176763|ENSP00000176763
Q9Y6E0|ENSG00000102572|ENST00000376547|ENSP00000365730
O00506|ENSG00000115694|ENST00000401869|ENSP00000385687
O00506|ENSG00000115694|ENST00000316586|ENSP00000325748
O00506|ENSG00000115694|ENST00000403346|ENSP00000384162
Q9P289|ENSG00000134602|ENST00000394334|ENSP00000377867
Q13188|ENSG00000104375|ENST00000419617|ENSP00000390500
Q9UEW8|ENSG00000198648|ENST00000355999|ENSP00000348278
Q13043|ENSG00000101109|ENST00000372806|ENSP00000361892
Q7RTN6|ENSG00000266173|ENST00000336174|ENSP00000336655
Q9C0K7|ENSG00000082146|ENST00000194530|ENSP00000194530
Q7L7X3|ENSG00000160551|ENST00000261716|ENSP00000261716
Q9UL54|ENSG00000149930|ENST00000308893|ENSP00000310094
Q9H2K8|ENSG00000135090|ENST00000419821|ENSP00000416374
Q9H2K8|ENSG00000135090|ENST00000392533|ENSP00000376317
Q9UKE5|ENSG00000154310|ENST00000436636|ENSP00000399511
Q04771|ENSG00000115170|ENST00000409283|ENSP00000387273
Q04771|ENSG00000115170|ENST00000410057|ENSP00000387127
Q04771|ENSG00000115170|ENST00000263640|ENSP00000263640
Q04771|ENSG00000115170|ENST00000424669|ENSP00000400767
Q04771|ENSG00000115170|ENST00000434821|ENSP00000405004
Q04771|ENSG00000115170|ENST00000539637|ENSP00000440091
Q04771|ENSG00000115170|ENST00000673324|ENSP00000500109
Q04771|ENSG00000115170|ENST00000672582|ENSP00000500605
P36896|ENSG00000135503|ENST00000257963|ENSP00000257963
Q8NER5|ENSG00000123612|ENST00000243349|ENSP00000243349
P27037|ENSG00000121989|ENST00000404590|ENSP00000384338
P27037|ENSG00000121989|ENST00000241416|ENSP00000241416
Q13705|ENSG00000114739|ENST00000352511|ENSP00000340361
P37023|ENSG00000139567|ENST00000388922|ENSP00000373574
Q16671|ENSG00000135409|ENST00000257863|ENSP00000257863
Q8NFD2|ENSG00000170209|ENST00000303941|ENSP00000306678
P10398|ENSG00000078061|ENST00000377045|ENSP00000366244
P36894|ENSG00000107779|ENST00000638429|ENSP00000492290
P36894|ENSG00000107779|ENST00000372037|ENSP00000361107
P36894|ENSG00000107779|ENST00000635816|ENSP00000489707
P36894|ENSG00000107779|ENST00000636056|ENSP00000490273
O00238|ENSG00000138696|ENST00000515059|ENSP00000426617
O00238|ENSG00000138696|ENST00000672698|ENSP00000500035
O00238|ENSG00000138696|ENST00000509540|ENSP00000421671
O00238|ENSG00000138696|ENST00000512312|ENSP00000425444
O00238|ENSG00000138696|ENST00000264568|ENSP00000264568
O00238|ENSG00000138696|ENST00000394931|ENSP00000378389
Q13873|ENSG00000204217|ENST00000374580|ENSP00000363708
P15056|ENSG00000157764|ENST00000646891|ENSP00000493543
Q13418|ENSG00000166333|ENST00000299421|ENSP00000299421
Q13418|ENSG00000166333|ENST00000420936|ENSP00000403487
Q13418|ENSG00000166333|ENST00000396751|ENSP00000379975
P51617|ENSG00000184216|ENST00000369980|ENSP00000358997
O43187|ENSG00000134070|ENST00000256458|ENSP00000256458
