inn_name,phase,mw,image_url,canonical_smiles,inchikey
Bemcentinib,2.0,506.3,www.icoa.fr/pkidb/static/img/mol/Bemcentinib.svg,c1ccc-2c(c1)CCCc3c2nnc(c3)n4c(nc(n4)Nc5ccc6c(c5)CC[C@H](CC6)N7CCCC7)N,KXMZDGSRSGHMMK-VWLOTQADSA-N
Bentamapimod,2.0,457.2,www.icoa.fr/pkidb/static/img/mol/Bentamapimod.svg,N#CC(c1nc2ccccc2s1)c5nc(OCc3ccc(cc3)CN4CCOCC4)ncc5,XCPPIJCBCWUBNT-UHFFFAOYSA-N
Berzosertib,2.0,463.2,www.icoa.fr/pkidb/static/img/mol/Berzosertib.svg,CC(C)S(=O)(=O)c1ccc(cc1)c2cnc(c(n2)c3cc(no3)c4ccc(cc4)CNC)N,JZCWLJDSIRUGIN-UHFFFAOYSA-N
Bimiralisib,2.0,411.2,www.icoa.fr/pkidb/static/img/mol/Bimiralisib.svg,c1c(c(c[nH]c1=N)c2nc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F,ADGGYDAFIHSYFI-UHFFFAOYSA-N
Binimetinib,4.0,440.0,www.icoa.fr/pkidb/static/img/mol/Binimetinib.svg,Cn1cnc2c1cc(c(c2F)Nc3ccc(cc3F)Br)C(=O)NOCCO,ACWZRVQXLIRSDF-UHFFFAOYSA-N
Bosutinib,4.0,529.2,www.icoa.fr/pkidb/static/img/mol/Bosutinib.svg,CN1CCN(CC1)CCCOc2cc3c(cc2OC)c(c(cn3)C#N)Nc4cc(c(cc4Cl)Cl)OC,UBPYILGKFZZVDX-UHFFFAOYSA-N
Brigatinib,4.0,583.3,www.icoa.fr/pkidb/static/img/mol/Brigatinib.svg,CN1CCN(CC1)C2CCN(CC2)c3ccc(c(c3)OC)Nc4ncc(c(n4)Nc5ccccc5P(=O)(C)C)Cl,AILRADAXUVEEIR-UHFFFAOYSA-N
Brivanib,3.0,370.1,www.icoa.fr/pkidb/static/img/mol/Brivanib.svg,Cc1cc2c([nH]1)ccc(c2F)Oc3c4c(c(cn4ncn3)OC[C@@H](C)O)C,WCWUXEGQKLTGDX-LLVKDONJSA-N
Buparlisib,3.0,410.2,www.icoa.fr/pkidb/static/img/mol/Buparlisib.svg,c1c(c(cnc1N)c2cc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F,CWHUFRVAEUJCEF-UHFFFAOYSA-N
Cabozantinib,4.0,501.2,www.icoa.fr/pkidb/static/img/mol/Cabozantinib.svg,COc1cc2c(ccnc2cc1OC)Oc3ccc(cc3)NC(=O)C4(CC4)C(=O)Nc5ccc(cc5)F,ONIQOQHATWINJY-UHFFFAOYSA-N
Canertinib,3.0,485.2,www.icoa.fr/pkidb/static/img/mol/Canertinib.svg,C=CC(=O)Nc1cc2c(cc1OCCCN3CCOCC3)ncnc2Nc4ccc(c(c4)Cl)F,OMZCMEYTWSXEPZ-UHFFFAOYSA-N
Capivasertib,2.0,428.2,www.icoa.fr/pkidb/static/img/mol/Capivasertib.svg,c1cc(ccc1[C@H](CCO)NC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl,JDUBGYFRJFOXQC-KRWDZBQOSA-N
Capmatinib,3.0,412.1,www.icoa.fr/pkidb/static/img/mol/Capmatinib.svg,CNC(=O)c1ccc(cc1F)c2cnc3ncc(n3n2)Cc4ccc5c(c4)cccn5,LIOLIMKSCNQPLV-UHFFFAOYSA-N
Cediranib,3.0,450.2,www.icoa.fr/pkidb/static/img/mol/Cediranib.svg,Cc1cc2c([nH]1)ccc(c2F)Oc3c4cc(c(cc4ncn3)OCCCN5CCCC5)OC,XXJWYDDUDKYVKI-UHFFFAOYSA-N
Cenisertib,1.0,451.2,www.icoa.fr/pkidb/static/img/mol/Cenisertib.svg,Cc1cc(ccc1N2CCN(CC2)C)Nc3ncc(c(n3)N[C@@H]4[C@@H]5C[C@H]([C@@H]4C(=O)N)C=C5)F,KSOVGRCOLZZTPF-QMKUDKLTSA-N
Ceralasertib,2.0,412.2,www.icoa.fr/pkidb/static/img/mol/Ceralasertib.svg,CC1COCCN1c2cc(nc(n2)c3cncc4c3cc[nH]4)C5(CC5)S(=N)(=O)C,DTTJKLNXNZAVSM-UHFFFAOYSA-N
Cerdulatinib,2.5,445.2,www.icoa.fr/pkidb/static/img/mol/Cerdulatinib.svg,CCS(=O)(=O)N1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)NC4CC4)C(=O)N,BGLPECHZZQDNCD-UHFFFAOYSA-N
Ceritinib,4.0,557.2,www.icoa.fr/pkidb/static/img/mol/Ceritinib.svg,Cc1cc(c(cc1C2CCNCC2)OC(C)C)Nc3ncc(c(n3)Nc4ccccc4S(=O)(=O)C(C)C)Cl,VERWOWGGCGHDQE-UHFFFAOYSA-N
Cobimetinib,4.0,531.1,www.icoa.fr/pkidb/static/img/mol/Cobimetinib.svg,c1c(cc(c(c1)Nc2c(c(ccc2C(=O)N3C[C@@](C3)(O)[C@H]4NCCCC4)F)F)F)I,BSMCAPRUBJMWDF-KRWDZBQOSA-N
Copanlisib,4.0,480.2,www.icoa.fr/pkidb/static/img/mol/Copanlisib.svg,COc1c(ccc2c1N=C(N3C2=NCC3)NC(=O)c4cnc(nc4)N)OCCCN5CCOCC5,PZBCKZWLPGJMAO-UHFFFAOYSA-N
Crenolanib,3.0,443.2,www.icoa.fr/pkidb/static/img/mol/Crenolanib.svg,CC1(COC1)COc2ccc3c(c2)ncn3c4ccc5cccc(c5n4)N6CCC(CC6)N,DYNHJHQFHQTFTP-UHFFFAOYSA-N
Crizotinib,4.0,449.1,www.icoa.fr/pkidb/static/img/mol/Crizotinib.svg,C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4,KTEIFNKAUNYNJU-GFCCVEGCSA-N
Dabrafenib,4.0,519.1,www.icoa.fr/pkidb/static/img/mol/Dabrafenib.svg,CC(C)(C)c1nc(c(s1)c2ccnc(n2)N)c3cccc(c3F)NS(=O)(=O)c4c(cccc4F)F,BFSMGDJOXZAERB-UHFFFAOYSA-N
Dacomitinib,4.0,469.2,www.icoa.fr/pkidb/static/img/mol/Dacomitinib.svg,COc1cc2c(cc1NC(=O)/C=C/CN3CCCCC3)c(ncn2)Nc4ccc(c(c4)Cl)F,LVXJQMNHJWSHET-AATRIKPKSA-N
Dactolisib,2.0,469.2,www.icoa.fr/pkidb/static/img/mol/Dactolisib.svg,CC(C)(C#N)c1ccc(cc1)n2c3c4cc(ccc4ncc3n(c2=O)C)c5cc6ccccc6nc5,JOGKUKXHTYWRGZ-UHFFFAOYSA-N
Danusertib,2.0,474.2,www.icoa.fr/pkidb/static/img/mol/Danusertib.svg,CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3c4c([nH]n3)CN(C4)C(=O)[C@@H](c5ccccc5)OC,XKFTZKGMDDZMJI-HSZRJFAPSA-N
Dasatinib,4.0,487.2,www.icoa.fr/pkidb/static/img/mol/Dasatinib.svg,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
Decernotinib,2.0,392.2,www.icoa.fr/pkidb/static/img/mol/Decernotinib.svg,CC[C@](C)(C(=O)NCC(F)(F)F)Nc1ccnc(n1)c2c[nH]c3c2cccn3,ASUGUQWIHMTFJL-QGZVFWFLSA-N
Defactinib,2.0,510.1,www.icoa.fr/pkidb/static/img/mol/Defactinib.svg,CNC(=O)c1ccc(cc1)Nc2ncc(c(n2)NCc3c(nccn3)N(C)S(=O)(=O)C)C(F)(F)F,FWLMVFUGMHIOAA-UHFFFAOYSA-N
Derazantinib,1.5,468.2,www.icoa.fr/pkidb/static/img/mol/Derazantinib.svg,COCCNCCc1cccc(c1)Nc2ncc3c(n2)-c4ccccc4[C@@H](C3)c5ccccc5F,KPJDVVCDVBFRMU-AREMUKBSSA-N
Dezapelisib,0.0,421.1,www.icoa.fr/pkidb/static/img/mol/Dezapelisib.svg,Cc1csc2n1c(=O)c(c(n2)[C@H](C)Nc3c4c([nH]cn4)ncn3)c5cccc(c5)F,RSIWALKZYXPAGW-NSHDSACASA-N
Dilmapimod,2.0,456.1,www.icoa.fr/pkidb/static/img/mol/Dilmapimod.svg,Cc1cc(ccc1c2c3ccc(=O)n(c3nc(n2)NC(CO)CO)c4c(cccc4F)F)F,ORVNHOYNEHYKJG-UHFFFAOYSA-N
Dinaciclib,3.0,396.2,www.icoa.fr/pkidb/static/img/mol/Dinaciclib.svg,CCc1cnn2c1nc(cc2NCc3ccc[n+](c3)[O-])N4CCCC[C@H]4CCO,PIMQWRZWLQKKBJ-SFHVURJKSA-N
Doramapimod,2.0,527.3,www.icoa.fr/pkidb/static/img/mol/Doramapimod.svg,Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3ccc(c4c3cccc4)OCCN5CCOCC5,MVCOAUNKQVWQHZ-UHFFFAOYSA-N
Dovitinib,3.0,392.2,www.icoa.fr/pkidb/static/img/mol/Dovitinib.svg,CN1CCN(CC1)c2ccc3c(c2)[nH]c(n3)c4c(c5c(cccc5F)[nH]c4=O)N,PIQCTGMSNWUMAF-UHFFFAOYSA-N
Duvelisib,4.0,416.1,www.icoa.fr/pkidb/static/img/mol/Duvelisib.svg,C[C@@H](c1cc2cccc(c2c(=O)n1c3ccccc3)Cl)Nc4c5c([nH]cn5)ncn4,SJVQHLPISAIATJ-ZDUSSCGKSA-N
Encorafenib,4.0,539.2,www.icoa.fr/pkidb/static/img/mol/Encorafenib.svg,C[C@@H](CNc1nccc(n1)c2cn(nc2c3cc(cc(c3F)NS(=O)(=O)C)Cl)C(C)C)NC(=O)OC,CMJCXYNUCSMDBY-ZDUSSCGKSA-N
Ensartinib,3.0,560.2,www.icoa.fr/pkidb/static/img/mol/Ensartinib.svg,C[C@@H]1CN(C[C@@H](N1)C)C(=O)c2ccc(cc2)NC(=O)c3cc(c(nn3)N)O[C@H](C)c4c(ccc(c4Cl)F)Cl,GLYMPHUVMRFTFV-QLFBSQMISA-N
Entospletinib,2.0,411.2,www.icoa.fr/pkidb/static/img/mol/Entospletinib.svg,c1cc(ccc1Nc2c3nccn3cc(n2)c4ccc5cn[nH]c5c4)N6CCOCC6,XSMSNFMDVXXHGJ-UHFFFAOYSA-N
Entrectinib,4.0,560.3,www.icoa.fr/pkidb/static/img/mol/Entrectinib.svg,CN1CCN(CC1)c2ccc(c(c2)NC3CCOCC3)C(=O)Nc4c5cc(ccc5[nH]n4)Cc6cc(cc(c6)F)F,HAYYBYPASCDWEQ-UHFFFAOYSA-N
Enzastaurin,3.0,515.2,www.icoa.fr/pkidb/static/img/mol/Enzastaurin.svg,Cn1cc(c2c1cccc2)C3=C(C(=O)NC3=O)c4cn(c5c4cccc5)C6CCN(CC6)Cc7ccccn7,AXRCEOKUDYDWLF-UHFFFAOYSA-N
Erdafitinib,4.0,446.2,www.icoa.fr/pkidb/static/img/mol/Erdafitinib.svg,CC(C)NCCN(c1ccc2c(c1)nc(cn2)c3cnn(c3)C)c4cc(cc(c4)OC)OC,OLAHOMJCDNXHFI-UHFFFAOYSA-N
Erlotinib,4.0,393.2,www.icoa.fr/pkidb/static/img/mol/Erlotinib.svg,COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C,AAKJLRGGTJKAMG-UHFFFAOYSA-N
Evobrutinib,2.0,429.2,www.icoa.fr/pkidb/static/img/mol/Evobrutinib.svg,C=CC(=O)N1CCC(CC1)CNc2c(c(ncn2)N)c3ccc(cc3)Oc4ccccc4,QUIWHXQETADMGN-UHFFFAOYSA-N
Famitinib,3.0,410.2,www.icoa.fr/pkidb/static/img/mol/Famitinib.svg,CCN(CC)CCN1CCc2c(c(c([nH]2)/C=C\3/c4cc(ccc4NC3=O)F)C)C1=O,GKEYKDOLBLYGRB-LGMDPLHJSA-N
Fasudil,4.0,291.1,www.icoa.fr/pkidb/static/img/mol/Fasudil.svg,c1cc2cnccc2c(c1)S(=O)(=O)N3CCCNCC3,NGOGFTYYXHNFQH-UHFFFAOYSA-N
Fedratinib,4.0,524.3,www.icoa.fr/pkidb/static/img/mol/Fedratinib.svg,Cc1cnc(nc1Nc2cccc(c2)S(=O)(=O)NC(C)(C)C)Nc3ccc(cc3)OCCN4CCCC4,JOOXLOJCABQBSG-UHFFFAOYSA-N
Filgotinib,3.0,425.2,www.icoa.fr/pkidb/static/img/mol/Filgotinib.svg,c1cc(n2c(c1)nc(n2)NC(=O)C3CC3)c4ccc(cc4)CN5CCS(=O)(=O)CC5,RIJLVEAXPNLDTC-UHFFFAOYSA-N
Flumatinib,3.0,562.2,www.icoa.fr/pkidb/static/img/mol/Flumatinib.svg,Cc1c(cc(cn1)NC(=O)c2ccc(c(c2)C(F)(F)F)CN3CCN(CC3)C)Nc4nccc(n4)c5cccnc5,BJCJYEYYYGBROF-UHFFFAOYSA-N
Foretinib,2.0,632.2,www.icoa.fr/pkidb/static/img/mol/Foretinib.svg,COc1cc2c(ccnc2cc1OCCCN3CCOCC3)Oc4ccc(cc4F)NC(=O)C5(CC5)C(=O)Nc6ccc(cc6)F,CXQHYVUVSFXTMY-UHFFFAOYSA-N
Fostamatinib,4.0,580.1,www.icoa.fr/pkidb/static/img/mol/Fostamatinib.svg,CC1(C(=O)N(c2c(ccc(n2)Nc3c(cnc(n3)Nc4cc(c(c(c4)OC)OC)OC)F)O1)COP(=O)(O)O)C,GKDRMWXFWHEQQT-UHFFFAOYSA-N
Fruquintinib,3.0,393.1,www.icoa.fr/pkidb/static/img/mol/Fruquintinib.svg,Cc1c(c2ccc(cc2o1)Oc3c4cc(c(cc4ncn3)OC)OC)C(=O)NC,BALLNEJQLSTPIO-UHFFFAOYSA-N
Galunisertib,2.0,369.2,www.icoa.fr/pkidb/static/img/mol/Galunisertib.svg,Cc1cccc(n1)c2c(c3n(n2)CCC3)c4ccnc5c4cc(cc5)C(=O)N,IVRXNBXKWIJUQB-UHFFFAOYSA-N
Gandotinib,2.0,469.2,www.icoa.fr/pkidb/static/img/mol/Gandotinib.svg,Cc1cc(n[nH]1)Nc2cc(c3nc(c(n3n2)Cc4ccc(cc4F)Cl)C)CN5CCOCC5,SQSZANZGUXWJEA-UHFFFAOYSA-N
Gedatolisib,2.0,615.3,www.icoa.fr/pkidb/static/img/mol/Gedatolisib.svg,CN(C)C1CCN(CC1)C(=O)c2ccc(cc2)NC(=O)Nc3ccc(cc3)c4nc(nc(n4)N5CCOCC5)N6CCOCC6,DWZAEMINVBZMHQ-UHFFFAOYSA-N
Gefitinib,4.0,446.2,www.icoa.fr/pkidb/static/img/mol/Gefitinib.svg,COc1cc2c(cc1OCCCN3CCOCC3)c(ncn2)Nc4ccc(c(c4)Cl)F,XGALLCVXEZPNRQ-UHFFFAOYSA-N
Gilteritinib,4.0,552.4,www.icoa.fr/pkidb/static/img/mol/Gilteritinib.svg,CCc1c(nc(c(n1)C(=O)N)Nc2ccc(c(c2)OC)N3CCC(CC3)N4CCN(CC4)C)NC5CCOCC5,GYQYAJJFPNQOOW-UHFFFAOYSA-N
Glesatinib,2.0,619.2,www.icoa.fr/pkidb/static/img/mol/Glesatinib.svg,COCCNCc1ccc(nc1)c2cc3c(s2)c(ccn3)Oc4ccc(cc4F)NC(=S)NC(=O)Cc5ccc(cc5)F,YRCHYHRCBXNYNU-UHFFFAOYSA-N
Golvatinib,2.0,633.3,www.icoa.fr/pkidb/static/img/mol/Golvatinib.svg,CN1CCN(CC1)C2CCN(CC2)C(=O)Nc3cc(ccn3)Oc4ccc(c(c4)F)NC(=O)C5(CC5)C(=O)Nc6ccc(cc6)F,UQRCJCNVNUFYDX-UHFFFAOYSA-N
Henatinib,1.0,468.2,www.icoa.fr/pkidb/static/img/mol/Henatinib.svg,Cc1c([nH]c2c1C(=O)N(CCC2)C[C@@H](CN3CCOCC3)O)/C=C\4/c5cc(ccc5NC4=O)F,MCTXSDCWFQAGFS-UEXNTNOUSA-N
Ibrutinib,4.0,440.2,www.icoa.fr/pkidb/static/img/mol/Ibrutinib.svg,C=CC(=O)N1CCC[C@H](C1)n2c3c(c(n2)c4ccc(cc4)Oc5ccccc5)c(ncn3)N,XYFPWWZEPKGCCK-GOSISDBHSA-N
Icotinib,4.0,391.2,www.icoa.fr/pkidb/static/img/mol/Icotinib.svg,C#Cc1cccc(c1)Nc2c3cc4c(cc3ncn2)OCCOCCOCCO4,QQLKULDARVNMAL-UHFFFAOYSA-N
Idelalisib,4.0,415.2,www.icoa.fr/pkidb/static/img/mol/Idelalisib.svg,CC[C@@H](c1nc2cccc(c2c(=O)n1c3ccccc3)F)Nc4c5c([nH]cn5)ncn4,IFSDAJWBUCMOAH-HNNXBMFYSA-N
Ilorasertib,2.0,488.1,www.icoa.fr/pkidb/static/img/mol/Ilorasertib.svg,c1cc(cc(c1)F)NC(=O)Nc2ccc(cc2)c3csc4c3c(ncc4c5cnn(c5)CCO)N,WPHKIQPVPYJNAX-UHFFFAOYSA-N
Imatinib,4.0,493.3,www.icoa.fr/pkidb/static/img/mol/Imatinib.svg,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C,KTUFNOKKBVMGRW-UHFFFAOYSA-N
Infigratinib,2.0,559.2,www.icoa.fr/pkidb/static/img/mol/Infigratinib.svg,CCN1CCN(CC1)c2ccc(cc2)Nc3cc(ncn3)N(C)C(=O)Nc4c(c(cc(c4Cl)OC)OC)Cl,QADPYRIHXKWUSV-UHFFFAOYSA-N
Ipatasertib,3.0,457.2,www.icoa.fr/pkidb/static/img/mol/Ipatasertib.svg,C[C@@H]1C[C@H](c2c1c(ncn2)N3CCN(CC3)C(=O)[C@H](CNC(C)C)c4ccc(cc4)Cl)O,GRZXWCHAXNAUHY-NSISKUIASA-N
Itacitinib,3.0,553.2,www.icoa.fr/pkidb/static/img/mol/Itacitinib.svg,c1cnc-2[nH]cnc(c12)c3cnn(c3)C4(CN(C4)C5CCN(CC5)C(=O)c6ccnc(c6F)C(F)(F)F)CC#N,KTBSXLIQKWEBRB-UHFFFAOYSA-N
Lapatinib,4.0,580.1,www.icoa.fr/pkidb/static/img/mol/Lapatinib.svg,CS(=O)(=O)CCNCc1ccc(o1)c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F,BCFGMOOMADDAQU-UHFFFAOYSA-N
Larotrectinib,4.0,428.2,www.icoa.fr/pkidb/static/img/mol/Larotrectinib.svg,c1cc(c(cc1F)[C@H]2CCCN2c3ccn4c(n3)c(cn4)NC(=O)N5CC[C@@H](C5)O)F,NYNZQNWKBKUAII-KBXCAEBGSA-N
Lazertinib,1.0,554.3,www.icoa.fr/pkidb/static/img/mol/Lazertinib.svg,CN(C)Cc1cn(nc1c2ccccc2)c3ccnc(n3)Nc4cc(c(cc4OC)N5CCOCC5)NC(=O)C=C,RRMJMHOQSALEJJ-UHFFFAOYSA-N
Leniolisib,0.0,450.2,www.icoa.fr/pkidb/static/img/mol/Leniolisib.svg,CCC(=O)N1CC[C@@H](C1)Nc2c3c(ncn2)CCN(C3)c4cc(c(nc4)OC)C(F)(F)F,MWKYMZXCGYXLPL-ZDUSSCGKSA-N
Lenvatinib,4.0,426.1,www.icoa.fr/pkidb/static/img/mol/Lenvatinib.svg,COc1cc2c(cc1C(=O)N)c(ccn2)Oc3ccc(c(c3)Cl)NC(=O)NC4CC4,WOSKHXYHFSIKNG-UHFFFAOYSA-N
Lestaurtinib,3.0,439.2,www.icoa.fr/pkidb/static/img/mol/Lestaurtinib.svg,C[C@@]12[C@](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)(CO)O,UIARLYUEJFELEN-LROUJFHJSA-N
Linifanib,3.0,375.1,www.icoa.fr/pkidb/static/img/mol/Linifanib.svg,Cc1ccc(c(c1)NC(=O)Nc2ccc(cc2)c3cccc4c3c(n[nH]4)N)F,MPVGZUGXCQEXTM-UHFFFAOYSA-N
Linsitinib,3.0,421.2,www.icoa.fr/pkidb/static/img/mol/Linsitinib.svg,C[C@]1(C[C@@H](C1)c2n3c(c(ncc3)N)c(n2)c4cc5nc(ccc5cc4)c6ccccc6)O,PKCDDUHJAFVJJB-VLZXCDOPSA-N
Lorlatinib,4.0,406.2,www.icoa.fr/pkidb/static/img/mol/Lorlatinib.svg,C[C@@H]1c2cc(ccc2C(=O)N(Cc3c(c(n(n3)C)C#N)-c4cc(c(nc4)N)O1)C)F,IIXWYSCJSQVBQM-LLVKDONJSA-N
