INN_Name,pdbID
Foretinib,3lq8
Foretinib,5ia4
Foretinib,6i2y
Foretinib,6sd9
Foretinib,6sdc
Fostamatinib,4o75
Fruquintinib,NaN
Galunisertib,NaN
Gandotinib,NaN
Gedatolisib,NaN
Gefitinib,2ito
Gefitinib,2ity
Gefitinib,2itz
Gefitinib,3ug2
Gefitinib,4i22
Gefitinib,4wkq
Gefitinib,5y7z
Gefitinib,5y80
Gilteritinib,6jqr
Glesatinib,NaN
Golvatinib,5ia5
Henatinib,NaN
Ibrutinib,4ifg
Ibrutinib,4rz7
Ibrutinib,5p9i
Ibrutinib,5yu9
Icotinib,NaN
Idelalisib,4xe0
Ilorasertib,NaN
Imatinib,1iep
Imatinib,1opj
Imatinib,1t46
Imatinib,1xbb
Imatinib,2hyy
Imatinib,2oiq
Imatinib,2pl0
Imatinib,3fw1
Imatinib,3gvu
Imatinib,3hec
Imatinib,3k5v
Imatinib,3ms9
Imatinib,3mss
Imatinib,3oez
Imatinib,3pyy
Imatinib,4bkj
Imatinib,4csv
Imatinib,4r7i
Imatinib,5mqt
Imatinib,6hd4
Imatinib,6hd6
Imatinib,6npe
Imatinib,6npu
Imatinib,6npv
Infigratinib,3tt0
Ipatasertib,4ekl
Itacitinib,NaN
Lapatinib,1xkk
Lapatinib,3bbt
Larotrectinib,NaN
Lazertinib,NaN
Leniolisib,5o83
Lenvatinib,3wzd
Lenvatinib,5zv2
Lestaurtinib,NaN
Linifanib,NaN
Linsitinib,NaN
Lorlatinib,4cli
Lorlatinib,4clj
Lorlatinib,4uxl
Lorlatinib,5a9u
Lorlatinib,5aa8
Lorlatinib,5aa9
Losmapimod,NaN
Lucitanib,4rwl
Masitinib,5mql
Mavelertinib,NaN
Merestinib,4eev
Midostaurin,4nct
Milciclib,2wih
Milciclib,5vc6
Milciclib,5vd1
Momelotinib,6fdz
Motesanib,3efl
Mubritinib,NaN
Naquotinib,5y9t
Nazartinib,NaN
Neflamapimod,3fc1
Neflamapimod,3hp5
Neflamapimod,3zsi
Nemiralisib,5ae8
Neratinib,NaN
Netarsudil,NaN
Nilotinib,3cs9
Nilotinib,3gp0
Nilotinib,5mo4
Ningetinib,NaN
Nintedanib,3c7q
Nintedanib,5maf
Nintedanib,5te0
Nintedanib,6nec
Oclacitinib,NaN
Olmutinib,NaN
Omipalisib,3l08
Orantinib,4jlc
Orantinib,5yvc
Osimertinib,4zau
Pacritinib,5lbz
Palbociclib,2euf
Palbociclib,5l2i
Pamapimod,3flw
Panulisib,NaN
Parsaclisib,NaN
Pazopanib,NaN
Peficitinib,6aah
Peficitinib,6aaj
Peficitinib,6aak
Peficitinib,6aam
Pelitinib,5vcw
Pexidartinib,4r7h
Pexmetinib,NaN
Pictilisib,2wxp
Pictilisib,2y3a
Pictilisib,3dbs
Pilaralisib,NaN
Pimasertib,NaN
Ponatinib,3ik3
Ponatinib,3oxz
Ponatinib,3zos
Ponatinib,4c8b
Ponatinib,4qrc
Ponatinib,4tyj
Ponatinib,4u0i
Ponatinib,4uxq
Ponatinib,4v01
Ponatinib,4v04
Ponatinib,6eg9
Poziotinib,NaN
Pralsetinib,NaN
Prexasertib,NaN
Pyrotinib,NaN
Quizartinib,4rt7
Quizartinib,4xuf
Rabusertib,NaN
Radotinib,NaN
Ralimetinib,NaN
Ravoxertinib,5k4i
Ravoxertinib,5k4j
Ravoxertinib,6oph
Rebastinib,3qri
Rebastinib,3qrj
Rebastinib,5g6v
Rebastinib,6cnh
Rebastinib,6mwe
Recilisib,NaN
Refametinib,3e8n
Regorafenib,NaN
Ribociclib,5l2t
Rigosertib,5j18
Rigosertib,5j2r
Rigosertib,5ov7
Ripasudil,NaN
Ripretinib,NaN
Riviciclib,NaN
Rivoceranib,NaN
Rociletinib,5xdk
Rociletinib,5xdl
Rogaratinib,NaN
Roniciclib,NaN
Ruboxistaurin,1uu3
Ruboxistaurin,2j2i
Ruxolitinib,4u5j
Samotolisib,NaN
Sapanisertib,6gvf
Sapitinib,NaN
Saracatinib,2h8h
Saracatinib,4qmx
Saracatinib,5vcx
Saracatinib,5vd3
Savolitinib,5lbw
Savolitinib,6sde
Selatinib,NaN
Seliciclib,1unl
Seliciclib,1ygk
Seliciclib,2a4l
Seliciclib,3ddq
Selonsertib,6oyt
Selumetinib,4u7z
Semaxanib,2x2m
Silmitasertib,3nga
Silmitasertib,3pe1
Silmitasertib,5o11
Silmitasertib,6fyl
Silmitasertib,6fyp
Silmitasertib,6fyv
Silmitasertib,6hmb
Silmitasertib,6isj
Silmitasertib,6k3l
Silmitasertib,6khd
Silmitasertib,6khe
Silmitasertib,6khf
Silmitasertib,6p5s
Simotinib,NaN
Sitravatinib,NaN
Solcitinib,NaN
Sonolisib,NaN
Sorafenib,1uwh
Sorafenib,1uwj
Sorafenib,3gcs
Sorafenib,3heg
Sorafenib,3rgf
Sorafenib,3wze
Sorafenib,4asd
Sorafenib,5hi2
Sotrastaurin,3iw4
Spebrutinib,NaN
Sunitinib,2y7j
Sunitinib,3g0e
Sunitinib,3g0f
Sunitinib,3miy
Sunitinib,3ti1
Sunitinib,4agd
Sunitinib,4ks8
Sunitinib,4qmz
Sunitinib,6nfy
Sunitinib,6nfz
Sunitinib,6ng0
Tafetinib,NaN
Talmapimod,3hub
Talmapimod,3zsh
Tamatinib,3fqs
Tamatinib,3piy
Tandutinib,NaN
Tanzisertib,3tti
Tarloxotinib,NaN
Taselisib,5t8f
Telatinib,NaN
Tepotinib,4r1v
Tesevatinib,NaN
Tivantinib,5cb4
Tivozanib,4ase
Toceranib,NaN
Tofacitinib,3eyg
Tofacitinib,3fup
Tofacitinib,3lxk
Tofacitinib,3lxn
Tofacitinib,4oti
Tomivosertib,6ck6
Tozasertib,2f4j
Tozasertib,2xyn
Tozasertib,3amb
Tozasertib,3e5a
Tozasertib,4af3
Tozasertib,4b8m
Tozasertib,4jbq
Tozasertib,4zog
Tozasertib,5wnm
Tozasertib,6brj
Tozasertib,6gr9
Trametinib,NaN
Trilaciclib,NaN
Tucatinib,NaN
Ulixertinib,6gdq
Umbralisib,NaN
Upadacitinib,NaN
Uprosertib,NaN
Vactosertib,NaN
Vandetanib,2ivu
Varlitinib,NaN
Vatalanib,NaN
Vemurafenib,3og7
Vemurafenib,4rzv
Vemurafenib,5hes
Verosudil,NaN
Vistusertib,NaN
Volasertib,3fc2
Volasertib,5v67
Volasertib,5vbr
Voruciclib,NaN
Voxtalisib,NaN
Zanubrutinib,NaN
(*) indicates that the target is not a kinase,
